Uuid,Exchange,TimeStamp,OrderType,Limit,Quantity,QuantityRemaining,Commission,Price,PricePerUnit,IsConditional,Condition,ConditionTarget,ImmediateOrCancel,Closed,TimeInForceTypeId,TimeInForce
d-1,USD-LTC,7/31/2020 11:32:59 AM,MARKET_SELL,,0.50000000,0.00000000,0.05708940,28.54470380,57.08940760,False,,0.00000000,True,7/31/2020 11:32:59 AM,2,
d-2,USD-LTC,7/31/2020 11:35:21 AM,CEILING_MARKET_BUY,,0.49750262,0.00000000,0.05686182,28.43078222,57.14699999,False,,0.00000000,True,7/31/2020 11:35:21 AM,2,
