UID: 567248024,Company Name: ,Country: 
Uid,Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time(UTC)
567248024,BTC,BTCEUR,TRADE,SELL,-0.00003000000000000000,0.00000000000000000000,53842.90000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00003000000000000000,-0.00003000000000000000,0.00008960000000000000,--,2026-06-05 08:22:50
567248024,EUR,BTCEUR,TRADE,SELL,1.61528700000000000000,0.00000000000000000000,53842.90000000000000000000,0.00000000000000000000,-0.00403821750000000000,1.61528700000000000000,1.61124878250000000000,12.14812880250000000000,--,2026-06-05 08:22:50
567248024,BTC,BTCEUR,TRADE,SELL,-0.00002000000000000000,0.00000000000000000000,53873.10000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00002000000000000000,-0.00002000000000000000,0.00011960000000000000,--,2026-06-05 08:22:38
567248024,EUR,BTCEUR,TRADE,SELL,1.07746200000000000000,0.00000000000000000000,53873.10000000000000000000,0.00000000000000000000,-0.00269365500000000000,1.07746200000000000000,1.07476834500000000000,10.53688002000000000000,--,2026-06-05 08:22:38
567248024,BTC,BTCEUR,TRADE,BUY,0.00007000000000000000,0.00000000000000000000,53873.60000000000000000000,0.00000000000000000000,-0.00000017500000000000,0.00007000000000000000,0.00006982500000000000,0.00013960000000000000,--,2026-06-05 08:22:20
567248024,EUR,BTCEUR,TRADE,BUY,-3.77115200000000000000,0.00000000000000000000,53873.60000000000000000000,0.00000000000000000000,0.00000000000000000000,-3.77115200000000000000,-3.77115200000000000000,9.46211167500000000000,--,2026-06-05 08:22:20
567248024,EUR,BTCEUR,TRADE,SELL,1.07573000000000000000,0.00000000000000000000,53786.50000000000000000000,0.00000000000000000000,-0.00268932500000000000,1.07573000000000000000,1.07304067500000000000,13.23326367500000000000,--,2026-06-05 08:21:02
567248024,BTC,BTCEUR,TRADE,SELL,-0.00002000000000000000,0.00000000000000000000,53786.50000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00002000000000000000,-0.00002000000000000000,0.00006977500000000000,--,2026-06-05 08:21:02
567248024,EUR,BTCEUR,TRADE,BUY,-4.83977700000000000000,0.00000000000000000000,53775.30000000000000000000,0.00000000000000000000,0.00000000000000000000,-4.83977700000000000000,-4.83977700000000000000,12.16022300000000000000,--,2026-06-05 08:19:22
567248024,BTC,BTCEUR,TRADE,BUY,0.00009000000000000000,0.00000000000000000000,53775.30000000000000000000,0.00000000000000000000,-0.00000022500000000000,0.00009000000000000000,0.00008977500000000000,0.00008977500000000000,--,2026-06-05 08:19:22
567248024,EUR,,TRANSFER_IN,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,17.00000000000000000000,17.00000000000000000000,17.00000000000000000000,--,2026-06-05 08:18:56
