Uuid,Exchange,TimeStamp,OrderType,Limit,Quantity,QuantityRemaining,Commission,Price,PricePerUnit,IsConditional,Condition,ConditionTarget,ImmediateOrCancel,Closed
d50-1,USD-BTC,7/28/2019 1:35:53 PM,LIMIT_SELL,9471.45900000,0.00321000,0.00000000,0.07600851,30.40340586,9471.46600000,False,,0.00000000,False,7/28/2019 1:35:53 PM
3b1-2,USD-BTC,7/28/2019 1:47:07 PM,LIMIT_BUY,9500.00000000,0.00200000,0.00000000,0.04740198,18.96079200,9480.39600000,False,,0.00000000,False,7/28/2019 1:47:07 PM
