"Date (UTC)","Instrument","Trade ID","Order ID","Side","Quantity","Price","Volume","Fee","Rebate","Total"
"2019-11-26 12:32:40","BTC/USDT","715865747","1","buy","0.01624","7045.85","114.4246040","0.2288492","0.0000000","-114.6534532"
"2019-11-26 12:30:49","BTC/USDT","715863924","2","sell","0.01204","7064.37","85.0550148","0.1701100","0.0000000","84.8849048"
