ID;Date;Account;Type;Amount;Amount Currency;Price;Price Currency;Fee;Fee Currency;Total;Total Currency;Description;Status;First balance after;First balance after Currency;Second balance after;Second balance after Currency
1;2020-07-31 06:39:40;M;WITHDRAWAL;-2.47984252;LTC; ; ;0.0004;LTC;-2.48024252;LTC;b3;COMPLETED;0;LTC; ;
2;2020-07-30 12:31:41;M;QUICK_BUY;0.98398872;LTC;46.49;EUR;0.11436408;EUR;-45.85999967;EUR;;OK;2.48024252;LTC;0.00580748;EUR
3;2020-07-30 12:31:14;M;QUICK_SELL;-1;LTC;45.98;EUR;0.11495;EUR;45.86505;EUR;;OK;1.4962538;LTC;45.86580715;EUR
4;2020-07-30 12:18:06;M;DEPOSIT;2.4962538;LTC; ; ;0;LTC;2.4962538;LTC;e7;COMPLETED;2.4962538;LTC; ;
