Date(UTC);Market;Type;Price;Amount;Total;Fee;Fee Coin
2020-02-04 16:19:07;LTCBTC;BUY;0.007393;1.61;0.01190273;0.00161;LTC
2020-02-04 16:18:30;LTCBTC;SELL;0.007384;0.96;0.00708864;0.00000709;BTC
