Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee
2020-03-31 12:11:51,LTC/BTC,Exchange,Buy,0.00606752,1.97596992,0.01198923,0.09%,347785286630,-0.01198923,1.97419154
2020-03-31 12:11:33,LTC/BTC,Exchange,Sell,0.00606592,1.97827088,0.01200003,0.09%,347785225691,0.01198923,-1.97827088
